"country","ISO3","Region","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"New Zealand","NZL","AP",87,87,89,90,91,91,91,90,95,93,94,93,94,96,96,96,95,95,94,94
"Denmark","DNK","WE/EU",87,88,88,90,91,92,91,90,94,93,93,93,94,95,95,95,95,95,95,98
"Finland","FIN","WE/EU",86,85,85,89,90,89,89,90,94,92,89,90,94,96,96,97,97,97,99,100
"Switzerland","CHE","WE/EU",85,85,85,86,86,86,85,86,88,87,90,90,90,91,91,91,88,85,84,86
"Singapore","SGP","AP",85,85,84,84,85,84,86,87,92,93,92,92,93,94,94,93,94,93,92,91
"Sweden","SWE","WE/EU",85,85,84,88,89,87,89,88,93,92,92,93,93,92,92,92,93,93,90,94
"Norway","NOR","WE/EU",84,84,85,85,88,86,86,85,90,86,86,79,87,88,89,89,88,85,86,91
"Netherlands","NLD","WE/EU",82,82,82,83,84,83,83,84,89,88,89,89,90,87,86,87,89,90,88,89
"Luxembourg","LUX","WE/EU",80,81,82,81,85,82,80,80,85,85,82,83,84,86,85,84,87,90,87,86
"Germany","DEU","WE/EU",80,80,81,81,81,79,78,79,80,79,80,79,78,80,82,82,77,73,74,76
"Iceland","ISL","WE/EU",78,76,77,78,79,79,78,82,83,85,87,89,92,96,97,95,96,94,92,91
"Canada","CAN","AME",77,81,82,82,83,81,81,84,87,89,87,87,87,85,84,85,87,90,89,92
"United Kingdom","GBR","WE/EU",77,80,82,81,81,78,76,74,78,76,77,77,84,86,86,86,87,87,83,87
"Australia","AUS","AP",77,77,77,79,79,80,81,85,88,87,87,87,86,87,88,88,88,86,85,83
"Austria","AUT","WE/EU",77,76,75,75,76,72,69,69,78,79,79,81,81,86,87,84,80,78,78,77
"Hong Kong","HKG","AP",76,76,77,77,75,74,75,77,84,84,82,81,83,83,83,80,80,82,79,77
"Belgium","BEL","WE/EU",75,75,75,77,77,76,75,75,75,71,71,73,71,73,74,75,76,71,66,61
"Ireland","IRL","WE/EU",74,73,74,73,75,74,72,69,75,80,80,77,75,74,74,75,75,69,75,72
"Estonia","EST","WE/EU",74,73,71,70,70,69,68,64,64,65,66,66,65,67,64,60,55,56,56,57
"Japan","JPN","AP",73,73,73,72,75,76,74,74,80,78,77,73,75,76,73,69,70,71,71,64
"United Arab Emirates","ARE","MENA",71,70,71,66,70,70,69,68,68,63,65,59,57,62,62,61,52,NA,NA,NA
"Uruguay","URY","AME",71,70,70,71,74,73,73,72,70,69,67,69,67,64,59,62,55,51,51,NA
"United States of America","USA","AME",69,71,75,74,76,74,73,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"France","FRA","WE/EU",69,72,70,69,70,69,71,71,70,68,69,69,73,74,75,71,69,63,67,67
"Bhutan","BTN","AP",68,68,67,65,65,65,63,63,57,57,50,52,50,60,NA,NA,NA,NA,NA,NA
"Chile","CHL","AME",67,67,67,66,70,73,71,72,72,72,67,69,70,73,73,74,74,75,75,74
"Seychelles","SYC","SSA",66,66,60,NA,55,55,54,52,48,48,48,48,45,36,40,44,NA,NA,NA,NA
"Taiwan","TWN","AP",65,63,63,61,62,61,61,61,61,58,56,57,57,59,59,56,57,56,59,55
"Bahamas","BHS","AME",64,65,65,66,NA,71,71,71,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barbados","BRB","AME",62,68,68,61,NA,74,75,76,78,78,74,70,69,67,69,73,NA,NA,NA,NA
"Portugal","PRT","WE/EU",62,64,63,62,64,63,62,63,61,60,58,61,65,66,65,63,66,63,63,64
"Qatar","QAT","MENA",62,62,63,61,71,69,68,68,72,77,70,65,60,60,59,52,56,NA,NA,NA
"Spain","ESP","WE/EU",62,58,57,58,58,60,59,65,62,61,61,65,67,68,70,71,69,71,70,70
"Botswana","BWA","SSA",61,61,61,60,63,63,64,65,61,58,56,58,54,56,59,60,57,64,60,60
"Brunei Darussalam","BRN","AP",60,63,62,58,NA,NA,60,55,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Israel","ISR","MENA",60,61,62,64,61,60,61,60,58,61,61,60,61,59,63,64,70,73,76,66
"Slovenia","SVN","WE/EU",60,60,61,61,60,58,57,61,59,64,66,67,66,64,61,60,59,60,52,55
"Lithuania","LTU","WE/EU",60,59,59,59,59,58,57,54,48,50,49,46,48,48,48,46,47,48,48,41
"Saint Vincent and the Grenadines","VCT","AME",59,58,58,60,NA,62,62,62,58,NA,64,65,61,NA,NA,NA,NA,NA,NA,NA
"Korea, South","KOR","AP",59,57,54,53,54,55,55,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Poland","POL","WE/EU",58,60,60,62,63,61,60,58,55,53,50,46,42,37,34,35,36,40,41,41
"Cyprus","CYP","WE/EU",58,59,57,55,61,63,63,66,63,63,66,64,53,56,57,54,61,NA,NA,NA
"Cabo Verde","CPV","SSA",58,57,55,59,55,57,58,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Costa Rica","CRI","AME",56,56,59,58,55,54,53,54,48,53,53,51,50,41,42,49,43,45,45,54
"Latvia","LVA","WE/EU",56,58,58,57,56,55,53,49,42,43,45,50,48,47,42,40,38,37,34,34
"Czech Republic","CZE","WE/EU",56,59,57,55,56,51,48,49,44,46,49,52,NA,48,43,42,39,37,39,43
"Georgia","GEO","ECA",56,58,56,57,52,52,49,52,41,38,41,39,34,28,23,20,18,24,NA,NA
"Dominica","DMA","AME",55,57,57,59,NA,58,58,58,52,52,59,60,56,45,NA,NA,NA,NA,NA,NA
"Saint Lucia","LCA","AME",55,55,55,60,NA,71,71,71,70,NA,70,71,68,NA,NA,NA,NA,NA,NA,NA
"Malta","MLT","WE/EU",54,54,56,55,60,55,56,57,56,56,52,58,58,64,66,68,NA,NA,NA,NA
"Rwanda","RWA","SSA",53,56,55,54,54,49,53,53,50,40,33,30,28,25,31,NA,NA,NA,NA,NA
"Grenada","GRD","AME",53,52,52,56,NA,NA,NA,NA,NA,NA,NA,NA,34,35,NA,NA,NA,NA,NA,NA
"Italy","ITA","WE/EU",53,52,50,47,44,43,43,42,39,39,43,48,52,49,50,48,53,52,55,46
"Saudi Arabia","SAU","MENA",53,49,49,46,52,49,46,44,44,47,43,35,34,33,34,34,45,NA,NA,NA
"Malaysia","MYS","AP",53,47,47,49,50,52,50,49,43,44,45,51,51,50,51,50,52,49,50,48
"Namibia","NAM","SSA",52,53,51,52,53,49,48,48,44,44,45,45,45,41,43,41,47,57,54,54
"Mauritius","MUS","SSA",52,51,50,54,53,54,52,57,51,54,54,55,47,51,42,41,44,45,45,47
"Oman","OMN","MENA",52,52,44,45,45,45,47,47,48,53,55,55,47,54,63,61,63,NA,NA,NA
"Slovakia","SVK","WE/EU",50,50,50,51,51,50,47,46,40,43,45,50,49,47,43,40,37,NA,NA,NA
"Jordan","JOR","MENA",48,49,48,48,53,49,45,48,45,47,50,51,47,53,57,53,46,45,49,46
"Greece","GRC","WE/EU",48,45,48,44,46,43,40,36,34,35,38,47,46,44,43,43,43,42,42,49
"Cuba","CUB","AME",48,47,47,47,47,46,46,48,42,37,44,43,42,35,38,37,46,NA,NA,NA
"Croatia","HRV","WE/EU",47,48,49,49,51,48,48,46,40,41,41,44,41,34,34,35,37,38,39,37
"Sao Tome and Principe","STP","SSA",46,46,46,46,42,42,42,42,NA,30,28,27,27,NA,NA,NA,NA,NA,NA,NA
"Vanuatu","VUT","AP",46,46,43,NA,NA,NA,NA,NA,35,36,32,29,31,NA,NA,NA,NA,NA,NA,NA
"Montenegro","MNE","ECA",45,45,46,45,44,42,44,41,40,37,39,34,33,NA,NA,NA,NA,NA,NA,NA
"Senegal","SEN","SSA",45,45,45,45,44,43,41,36,29,29,30,34,36,33,32,30,32,31,29,35
"Belarus","BLR","ECA",45,44,44,40,32,31,29,31,24,25,24,20,21,21,26,33,42,48,NA,41
"Argentina","ARG","AME",45,40,39,36,32,34,34,35,30,29,29,29,29,29,28,25,25,28,35,35
"Romania","ROU","WE/EU",44,47,48,48,46,43,43,44,36,37,38,38,37,31,30,29,28,26,28,29
"Hungary","HUN","WE/EU",44,46,45,48,51,54,54,55,46,47,51,51,53,52,50,48,48,49,53,52
"South Africa","ZAF","SSA",44,43,43,45,44,44,42,43,41,45,47,49,51,46,45,46,44,48,48,50
"Suriname","SUR","AME",44,43,41,45,36,36,36,37,30,NA,37,36,35,30,32,43,NA,NA,NA,NA
"Jamaica","JAM","AME",43,44,44,39,41,38,38,38,33,33,30,31,33,37,36,33,38,40,NA,NA
"Bulgaria","BGR","WE/EU",43,42,43,41,41,43,41,41,33,36,38,36,41,40,40,41,39,40,39,35
"Tunisia","TUN","MENA",43,43,42,41,38,40,41,41,38,43,42,44,42,46,49,50,49,48,53,52
"Solomon Islands","SLB","AP",42,44,39,42,NA,NA,NA,NA,27,28,28,29,28,NA,NA,NA,NA,NA,NA,NA
"Bahrain","BHR","MENA",42,36,36,43,51,49,48,51,51,49,51,54,50,57,58,58,61,NA,NA,NA
"Armenia","ARM","ECA",42,35,35,33,35,37,36,34,26,26,27,29,30,29,29,31,30,NA,NA,25
"China","CHN","AP",41,39,41,40,37,36,40,39,36,35,36,36,35,33,32,34,34,35,35,31
"Morocco","MAR","MENA",41,43,40,37,36,39,37,37,34,34,33,35,35,32,32,32,33,37,NA,47
"Ghana","GHA","SSA",41,41,40,43,47,48,46,45,39,41,39,39,37,33,35,36,33,39,34,35
"India","IND","AP",41,41,40,40,38,38,36,36,31,33,34,34,35,33,29,28,28,27,27,28
"Benin","BEN","SSA",41,40,39,36,37,39,36,36,30,28,29,31,27,25,29,32,NA,NA,NA,NA
"Burkina Faso","BFA","SSA",40,41,42,42,38,38,38,38,30,31,36,35,29,32,34,NA,NA,NA,NA,30
"Lesotho","LSO","SSA",40,41,42,39,44,49,49,45,35,35,33,32,33,32,34,NA,NA,NA,NA,NA
"Trinidad and Tobago","TTO","AME",40,41,41,35,39,38,38,39,32,36,36,36,34,32,NA,42,46,NA,NA,NA
"Kuwait","KWT","MENA",40,41,39,41,49,44,43,44,46,45,41,43,NA,48,47,46,53,NA,NA,NA
"Guyana","GUY","AME",40,37,38,34,29,30,27,28,25,27,26,26,26,25,25,NA,NA,NA,NA,NA
"Indonesia","IDN","AP",40,38,37,37,36,34,32,32,30,28,28,26,23,24,22,20,19,19,19,17
"Serbia","SRB","ECA",39,39,41,42,40,41,42,39,33,35,35,34,34,30,NA,NA,NA,NA,NA,NA
"Turkey","TUR","ECA",39,41,40,41,42,45,50,49,42,44,44,46,41,38,35,32,31,32,36,38
"Sri Lanka","LKA","AP",38,38,38,36,37,38,37,40,33,32,31,32,32,31,32,35,34,37,NA,NA
"Timor-Leste","TLS","AP",38,35,38,35,28,28,30,33,24,25,22,22,26,26,NA,NA,NA,NA,NA,NA
"Ecuador","ECU","AME",38,34,32,31,32,33,35,32,27,25,22,20,21,23,25,24,22,22,23,26
"Colombia","COL","AME",37,36,37,37,37,37,36,36,34,35,37,38,38,39,40,38,37,36,38,32
"Tanzania","TZA","SSA",37,36,36,32,30,31,33,35,30,27,26,30,32,29,29,28,25,27,22,25
"Ethiopia","ETH","SSA",37,34,35,34,33,33,33,33,27,27,27,26,24,24,22,23,25,35,NA,32
"Vietnam","VNM","AP",37,33,35,33,31,31,31,31,29,27,27,NA,NA,NA,26,26,24,24,26,25
"Gambia","GMB","SSA",37,37,30,26,28,29,28,34,35,32,29,19,23,25,27,28,25,NA,NA,NA
"Kosovo","KSV","ECA",36,37,39,36,33,33,33,34,29,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bosnia and Herzegovina","BIH","ECA",36,38,38,39,38,39,42,42,32,32,30,32,33,29,29,31,NA,NA,NA,NA
"Panama","PAN","AME",36,37,37,38,39,37,35,38,33,36,34,34,32,31,35,37,34,30,37,NA
"Thailand","THA","AP",36,36,37,35,38,38,35,37,34,35,34,35,33,36,NA,36,33,32,32,32
"Peru","PER","AME",36,35,37,35,36,38,38,38,34,35,37,36,35,33,35,35,37,40,41,44
"Albania","ALB","ECA",35,36,38,39,36,33,31,33,31,33,32,34,29,26,24,25,25,25,NA,NA
"Brazil","BRA","AME",35,35,37,40,38,43,42,43,38,37,37,35,35,33,NA,39,39,40,40,39
"Mongolia","MNG","AP",35,37,36,38,39,39,38,36,27,27,27,30,30,28,30,30,NA,NA,NA,NA
"Cote d'Ivoire","CIV","SSA",35,35,36,34,32,32,27,29,NA,NA,NA,NA,21,NA,19,NA,21,27,NA,NA
"North Macedonia","MKD","ECA",35,37,35,37,42,45,44,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algeria","DZA","MENA",35,35,33,34,36,36,36,34,29,29,28,32,30,31,28,27,26,NA,NA,NA
"Egypt","EGY","MENA",35,35,32,34,36,37,32,32,29,31,28,28,29,33,34,32,33,34,36,31
"Eswatini","SWZ","SSA",34,38,39,NA,NA,43,39,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zambia","ZMB","SSA",34,35,37,38,38,38,38,37,32,30,30,28,26,26,26,26,25,26,26,34
"Philippines","PHL","AP",34,36,34,35,35,38,36,34,26,24,24,23,25,25,25,26,25,26,29,28
"El Salvador","SLV","AME",34,35,33,36,39,39,38,38,34,36,34,39,40,40,42,42,37,34,36,41
"Kazakhstan","KAZ","ECA",34,31,31,29,28,29,26,28,27,29,27,22,21,26,26,22,24,23,27,30
"Nepal","NPL","AP",34,31,31,29,27,29,31,27,22,22,23,27,25,25,25,28,NA,NA,NA,NA
"Sierra Leone","SLE","SSA",33,30,30,30,29,31,30,31,25,24,22,19,21,22,24,23,22,NA,NA,NA
"Niger","NER","SSA",32,34,33,35,34,35,34,33,25,26,29,28,26,23,24,22,NA,NA,NA,NA
"Pakistan","PAK","AP",32,33,32,32,30,29,28,27,25,23,24,25,24,22,21,21,25,26,23,NA
"Moldova","MDA","ECA",32,33,31,30,33,35,35,36,29,29,33,29,NA,32,29,23,24,21,31,26
"Bolivia","BOL","AME",31,29,33,33,34,35,34,34,28,28,27,30,29,27,25,22,23,22,20,27
"Gabon","GAB","SSA",31,31,32,35,34,37,34,35,30,28,29,31,33,30,29,33,NA,NA,NA,NA
"Malawi","MWI","SSA",31,32,31,31,31,33,37,37,30,34,33,28,27,27,28,28,28,29,32,41
"Djibouti","DJI","SSA",30,31,31,30,34,34,36,36,30,32,28,30,29,NA,NA,NA,NA,NA,NA,NA
"Azerbaijan","AZE","ECA",30,25,31,30,29,29,28,27,24,24,23,19,21,24,22,19,18,20,20,15
"Ukraine","UKR","ECA",30,32,30,29,27,26,25,26,23,24,22,25,27,28,26,22,23,24,21,15
"Kyrgyzstan","KGZ","ECA",30,29,29,28,28,27,24,24,21,20,19,18,21,22,23,22,21,NA,NA,NA
